Min (MHz),Max (MHz),Primary Allocations UPPER (1),Primary Allocations UPPER (2),Primary Allocations UPPER (3),Primary Allocations UPPER (4),Primary Allocations UPPER (5),Primary Allocations UPPER (6),Primary Allocations UPPER (7),Primary Allocations UPPER (8)
0.0083,0.009,,,,,,,,
0.009,0.0113,METEOROLOGICAL AIDS,RADIONAVIGATION,,,,,,
0.0113,0.014,RADIONAVIGATION,,,,,,,
0.014,0.01995,MARITIME MOBILE,FIXED,,,,,,
0.01995,0.02005,STANDARD FREQUENCY AND TIME SIGNAL (20 KHZ),,,,,,,
0.02005,0.07,FIXED,MARITIME MOBILE,,,,,,
0.07,0.072,RADIONAVIGATION,,,,,,,
0.072,0.084,FIXED,MARITIME MOBILE,RADIONAVIGATION,,,,,
0.084,0.086,RADIONAVIGATION,,,,,,,
0.086,0.09,FIXED,MARITIME MOBILE,RADIONAVIGATION,,,,,
0.09,0.11,RADIONAVIGATION,,,,,,,
0.11,0.112,FIXED,MARITIME MOBILE,RADIONAVIGATION,,,,,
0.112,0.115,RADIONAVIGATION,,,,,,,
0.115,0.1176,RADIONAVIGATION,,,,,,,
0.1176,0.126,FIXED,MARITIME MOBILE,RADIONAVIGATION,,,,,
0.126,0.129,RADIONAVIGATION,,,,,,,
0.129,0.13,FIXED,MARITIME MOBILE,RADIONAVIGATION,,,,,
0.13,0.1357,FIXED,MARITIME MOBILE,,,,,,
0.1357,0.1378,FIXED,MARITIME MOBILE,,,,,,
0.1378,0.1485,FIXED,MARITIME MOBILE,,,,,,
0.1485,0.255,BROADCASTING,,,,,,,
0.255,0.2835,BROADCASTING,AERONAUTICAL RADIONAVIGATION,,,,,,
0.2835,0.315,AERONAUTICAL RADIONAVIGATION,MARITIME RADIONAVIGATION (RADIOBEACONS),,,,,,
0.315,0.325,AERONAUTICAL RADIONAVIGATION,,,,,,,
0.325,0.405,AERONAUTICAL RADIONAVIGATION,,,,,,,
0.405,0.415,RADIONAVIGATION,,,,,,,
0.415,0.435,MARITIME MOBILE,AERONAUTICAL RADIONAVIGATION,,,,,,
0.435,0.472,MARITIME MOBILE,,,,,,,
0.472,0.479,MARITIME MOBILE,,,,,,,
0.479,0.495,MARITIME MOBILE,,,,,,,
