Min (MHz),Max (MHz),Primary Allocations UPPER (1),Primary Allocations UPPER (2),Primary Allocations UPPER (3),Primary Allocations UPPER (4),Primary Allocations UPPER (5),Primary Allocations UPPER (6),Primary Allocations UPPER (7),Primary Allocations UPPER (8)
0,0.0083,,,,,,,,
0.0083,0.009,METEOROLOGICAL AIDS,,,,,,,
0.009,0.0113,METEOROLOGICAL AIDS,RADIONAVIGATION,,,,,,
0.0113,0.014,RADIONAVIGATION,,,,,,,
0.014,0.01995,FIXED,MARITIME MOBILE,,,,,,
0.01995,0.02005,STANDARD FREQUENCY AND TIME SIGNAL,,,,,,,
0.02005,0.07,FIXED,MARITIME MOBILE,,,,,,
0.07,0.09,FIXED,MARITIME MOBILE,MARITIME RADIO-NAVIGATION,,,,,
0.09,0.11,RADIONAVIGATION,,,,,,,
0.11,0.13,FIXED,MARITIME MOBILE,MARITIME RADIO-NAVIGATION,,,,,
0.13,0.1357,FIXED,MARITIME MOBILE,,,,,,
0.1357,0.1378,FIXED,MARITIME MOBILE,,,,,,
0.1378,0.16,FIXED,MARITIME MOBILE,,,,,,
0.16,0.19,FIXED,,,,,,,
0.19,0.2,AERONAUTICAL RADIONAVIGATION,,,,,,,
0.2,0.275,AERONAUTICAL RADIONAVIGATION,,,,,,,
0.275,0.285,AERONAUTICAL RADIONAVIGATION,,,,,,,
0.285,0.315,AERONAUTICAL RADIONAVIGATION,MARITIME RADIONAVIGATION,,,,,,
0.315,0.325,MARITIME RADIONAVIGATION,,,,,,,
0.325,0.335,AERONAUTICAL RADIONAVIGATION,,,,,,,
0.335,0.405,AERONAUTICAL RADIONAVIGATION,,,,,,,
0.405,0.415,RADIONAVIGATION,,,,,,,
0.415,0.472,MARITIME MOBILE,,,,,,,
0.472,0.479,MARITIME MOBILE,,,,,,,
0.479,0.495,MARITIME MOBILE,,,,,,,
0.495,0.505,MARITIME MOBILE,,,,,,,
0.505,0.51,MARITIME MOBILE,,,,,,,
0.51,0.525,MARITIME MOBILE,AERONAUTICAL RADIONAVIGATION,,,,,,
0.525,0.535,BROADCASTING,AERONAUTICAL RADIONAVIGATION,,,,,,
0.535,1.605,BROADCASTING,,,,,,,
1.605,1.625,BROADCASTING,,,,,,,
1.625,1.705,FIXED,MOBILE,BROADCASTING,,,,,
1.705,1.8,FIXED,MOBILE,RADIOLOCATION,AERONAUTICAL RADIONAVIGATION,,,,
1.8,1.85,AMATEUR,,,,,,,
1.85,2,AMATEUR,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,RADIOLOCATION,RADIONAVIGATION,,,
2,2.065,FIXED,MOBILE,,,,,,
2.065,2.107,MARITIME MOBILE,,,,,,,
2.107,2.17,FIXED,MOBILE,,,,,,
2.17,2.1735,MARITIME MOBILE,,,,,,,
2.1735,2.1905,MOBILE,,,,,,,
2.1905,2.194,MARITIME MOBILE,,,,,,,
2.194,2.3,FIXED,MOBILE,,,,,,
2.3,2.495,FIXED,MOBILE,BROADCASTING,,,,,
2.495,2.501,STANDARD FREQUENCY AND TIME SIGNAL,,,,,,,
2.501,2.502,STANDARD FREQUENCY AND TIME SIGNAL,,,,,,,
2.502,2.505,STANDARD FREQUENCY AND TIME SIGNAL,,,,,,,
2.505,2.85,FIXED,MOBILE,,,,,,
2.85,3.025,AERONAUTICAL MOBILE,,,,,,,
3.025,3.155,AERONAUTICAL MOBILE,,,,,,,
3.155,3.2,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
3.2,3.23,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,BROADCASTING,,,,,
3.23,3.4,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,BROADCASTING,,,,,
3.4,3.5,AERONAUTICAL MOBILE,,,,,,,
3.5,3.75,AMATEUR,,,,,,,
3.75,4,AMATEUR,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,
4,4.063,FIXED,MARITIME MOBILE,,,,,,
4.063,4.438,MARITIME MOBILE,,,,,,,
4.438,4.488,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,RADIOLOCATION,,,,,
4.488,4.65,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
4.65,4.7,AERONAUTICAL MOBILE,,,,,,,
4.7,4.75,AERONAUTICAL MOBILE,,,,,,,
4.75,4.85,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,BROADCASTING,,,,,
4.85,4.995,FIXED,LAND MOBILE,BROADCASTING,,,,,
4.995,5.003,STANDARD FREQUENCY AND TIME SIGNAL,,,,,,,
5.003,5.005,STANDARD FREQUENCY AND TIME SIGNAL,,,,,,,
5.005,5.06,FIXED,BROADCASTING,,,,,,
5.06,5.25,FIXED,,,,,,,
5.25,5.275,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,RADIOLOCATION,,,,,
5.275,5.3515,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
5.3515,5.3665,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
5.3665,5.45,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
5.45,5.48,AERONAUTICAL MOBILE,,,,,,,
5.48,5.68,AERONAUTICAL MOBILE,,,,,,,
5.68,5.73,AERONAUTICAL MOBILE,,,,,,,
5.73,5.9,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
5.9,5.95,BROADCASTING,,,,,,,
5.95,6.2,BROADCASTING,,,,,,,
6.2,6.525,MARITIME MOBILE,,,,,,,
6.525,6.685,AERONAUTICAL MOBILE,,,,,,,
6.685,6.765,AERONAUTICAL MOBILE,,,,,,,
6.765,7,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
7,7.1,AMATEUR,AMATEUR-SATELLITE,,,,,,
7.1,7.2,AMATEUR,,,,,,,
7.2,7.3,AMATEUR,,,,,,,
7.3,7.4,BROADCASTING,,,,,,,
7.4,7.45,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
7.45,8.1,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
8.1,8.195,FIXED,MARITIME MOBILE,,,,,,
8.195,8.815,MARITIME MOBILE,,,,,,,
8.815,8.965,AERONAUTICAL MOBILE,,,,,,,
8.965,9.04,AERONAUTICAL MOBILE,,,,,,,
9.04,9.4,FIXED,,,,,,,
9.4,9.5,BROADCASTING,,,,,,,
9.5,9.9,BROADCASTING,,,,,,,
9.9,9.995,FIXED,,,,,,,
9.995,10.003,STANDARD FREQUENCY AND TIME SIGNAL,,,,,,,
10.003,10.005,STANDARD FREQUENCY AND TIME SIGNAL,,,,,,,
10.005,10.1,AERONAUTICAL MOBILE,,,,,,,
10.1,10.15,FIXED,,,,,,,
10.15,11.175,FIXED,,,,,,,
11.175,11.275,AERONAUTICAL MOBILE,,,,,,,
11.275,11.4,AERONAUTICAL MOBILE,,,,,,,
11.4,11.6,FIXED,,,,,,,
11.6,11.65,BROADCASTING,,,,,,,
11.65,12.05,BROADCASTING,,,,,,,
12.05,12.1,BROADCASTING,,,,,,,
12.1,12.23,FIXED,,,,,,,
12.23,13.2,MARITIME MOBILE,,,,,,,
13.2,13.26,AERONAUTICAL MOBILE,,,,,,,
13.26,13.36,AERONAUTICAL MOBILE,,,,,,,
13.36,13.41,FIXED,RADIO ASTRONOMY,,,,,,
13.41,13.45,FIXED,,,,,,,
13.45,13.55,FIXED,,,,,,,
13.55,13.57,FIXED,,,,,,,
13.57,13.6,BROADCASTING,,,,,,,
13.6,13.8,BROADCASTING,,,,,,,
13.8,13.87,BROADCASTING,,,,,,,
13.87,14,FIXED,,,,,,,
14,14.25,AMATEUR,AMATEUR-SATELLITE,,,,,,
14.25,14.35,AMATEUR,,,,,,,
14.35,14.99,FIXED,,,,,,,
14.99,15.005,STANDARD FREQUENCY AND TIME SIGNAL,,,,,,,
15.005,15.01,STANDARD FREQUENCY AND TIME SIGNAL,,,,,,,
15.01,15.1,AERONAUTICAL MOBILE,,,,,,,
15.1,15.6,BROADCASTING,,,,,,,
15.6,15.8,BROADCASTING,,,,,,,
15.8,16.1,FIXED,,,,,,,
16.1,16.2,FIXED,RADIOLOCATION,,,,,,
16.2,16.36,FIXED,,,,,,,
16.36,17.41,MARITIME MOBILE,,,,,,,
17.41,17.48,FIXED,,,,,,,
17.48,17.55,BROADCASTING,,,,,,,
17.55,17.9,BROADCASTING,,,,,,,
17.9,17.97,AERONAUTICAL MOBILE,,,,,,,
17.97,18.03,AERONAUTICAL MOBILE,,,,,,,
18.03,18.052,FIXED,,,,,,,
18.052,18.068,FIXED,,,,,,,
18.068,18.168,AMATEUR,AMATEUR-SATELLITE,,,,,,
18.168,18.78,FIXED,,,,,,,
18.78,18.9,MARITIME MOBILE,,,,,,,
18.9,19.02,BROADCASTING,,,,,,,
19.02,19.68,FIXED,,,,,,,
19.68,19.8,MARITIME MOBILE,,,,,,,
19.8,19.99,FIXED,,,,,,,
19.99,19.995,STANDARD FREQUENCY AND TIME SIGNAL,,,,,,,
19.995,20.01,STANDARD FREQUENCY AND TIME SIGNAL,,,,,,,
20.01,21,FIXED,,,,,,,
21,21.45,AMATEUR,AMATEUR-SATELLITE,,,,,,
21.45,21.85,BROADCASTING,,,,,,,
21.85,21.87,FIXED,,,,,,,
21.87,21.924,FIXED,,,,,,,
21.924,22,AERONAUTICAL MOBILE,,,,,,,
22,22.855,MARITIME MOBILE,,,,,,,
22.855,23,FIXED,,,,,,,
23,23.2,FIXED,,,,,,,
23.2,23.35,FIXED,AERONAUTICAL MOBILE,,,,,,
23.35,24,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
24,24.45,FIXED,LAND MOBILE,,,,,,
24.45,24.65,FIXED,LAND MOBILE,RADIOLOCATION,,,,,
24.65,24.89,FIXED,LAND MOBILE,,,,,,
24.89,24.99,AMATEUR,AMATEUR-SATELLITE,,,,,,
24.99,25.005,STANDARD FREQUENCY AND TIME SIGNAL,,,,,,,
25.005,25.01,STANDARD FREQUENCY AND TIME SIGNAL,,,,,,,
2.51,25.07,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
25.07,25.21,MARITIME MOBILE,,,,,,,
25.21,25.55,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
25.55,25.67,RADIO ASTRONOMY,,,,,,,
25.67,26.1,BROADCASTING,,,,,,,
26.1,26.175,MARITIME MOBILE,,,,,,,
26.175,26.2,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
26.2,26.42,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,RADIOLOCATION,,,,,
26.42,27.5,FIXED,MOBILE EXCEPT AERONAUTICAL MOBILE,,,,,,
27.5,28,METEOROLOGICAL AIDS,FIXED,MOBILE,,,,,
28,29.7,AMATEUR,AMATEUR-SATELLITE,,,,,,
29.7,30.005,FIXED,MOBILE,,,,,,
30.005,30.01,SPACE OPERATION,FIXED,MOBILE,SPACE RESEARCH,,,,
30.01,37.5,FIXED,MOBILE,,,,,,
37.5,38.25,FIXED,MOBILE,,,,,,
38.25,39.986,FIXED,MOBILE,,,,,,
40.02,40.98,FIXED,MOBILE,,,,,,
40.98,41.015,FIXED,MOBILE,,,,,,
41.015,42,FIXED,MOBILE,,,,,,
42,42.5,FIXED,MOBILE,,,,,,
42.5,44,FIXED,MOBILE,,,,,,
44,47,FIXED,MOBILE,,,,,,
47,50,FIXED,MOBILE,,,,,,
50,54,AMATEUR,,,,,,,
54,68,BROADCASTING,,,,,,,
68,72,BROADCASTING,,,,,,,
72,73,FIXED,MOBILE,,,,,,
73,74.6,RADIO ASTRONOMY,,,,,,,
74.6,74.8,FIXED,MOBILE,,,,,,
74.8,75.2,AERONAUTICAL RADIONAVIGATION,,,,,,,
75.2,75.4,FIXED,MOBILE,,,,,,
75.4,76,FIXED,MOBILE,,,,,,
76,88,BROADCASTING,,,,,,,
88,100,BROADCASTING,,,,,,,
100,108,BROADCASTING,,,,,,,
108,117.975,AERONAUTICAL RADIONAVIGATION,,,,,,,
117.975,137,AERONAUTICAL MOBILE,,,,,,,
137,137.025,SPACE OPERATION (SPACE-TO-EARTH),METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH),MOBILE-SATELLITE (SPACE-TO-EARTH),SPACE RESEARCH (SPACE-TO-EARTH),,,,
137.025,137.175,SPACE OPERATION (SPACE-TO-EARTH),METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH),SPACE RESEARCH (SPACE-TO-EARTH),,,,,
